journey_id,channel,attributed_revenue,attributed_conversions,model
0,Paid Social,109.21876960206248,1.0,First Touch
0,Paid Search,0.0,0.0,First Touch
1,Paid Search,79.65568179380305,1.0,First Touch
1,Paid Social,0.0,0.0,First Touch
1,Paid Search,79.65568179380305,1.0,First Touch
1,Paid Search,79.65568179380305,1.0,First Touch
1,Display,0.0,0.0,First Touch
1,Display,0.0,0.0,First Touch
1,Affiliate,0.0,0.0,First Touch
1,Paid Search,79.65568179380305,1.0,First Touch
2,Paid Search,78.9960880759368,1.0,First Touch
3,Video,102.9171452285182,1.0,First Touch
3,Paid Social,0.0,0.0,First Touch
3,Video,102.9171452285182,1.0,First Touch
3,Video,102.9171452285182,1.0,First Touch
4,Paid Social,104.06882662762514,1.0,First Touch
4,Display,0.0,0.0,First Touch
4,Paid Search,0.0,0.0,First Touch
4,Paid Search,0.0,0.0,First Touch
4,Display,0.0,0.0,First Touch
4,Paid Social,104.06882662762514,1.0,First Touch
4,Paid Social,104.06882662762514,1.0,First Touch
4,Video,0.0,0.0,First Touch
5,Paid Search,95.21739187795964,1.0,First Touch
5,Paid Social,0.0,0.0,First Touch
5,Paid Search,95.21739187795964,1.0,First Touch
6,Paid Social,100.3123529681922,1.0,First Touch
6,Video,0.0,0.0,First Touch
6,Paid Search,0.0,0.0,First Touch
6,Paid Search,0.0,0.0,First Touch
6,Paid Search,0.0,0.0,First Touch
6,Display,0.0,0.0,First Touch
6,Paid Social,100.3123529681922,1.0,First Touch
6,Paid Search,0.0,0.0,First Touch
7,Paid Search,91.09340072346436,1.0,First Touch
7,Paid Search,91.09340072346436,1.0,First Touch
7,Video,0.0,0.0,First Touch
7,Video,0.0,0.0,First Touch
7,Display,0.0,0.0,First Touch
7,Paid Search,91.09340072346436,1.0,First Touch
7,Affiliate,0.0,0.0,First Touch
8,Video,110.86059108864644,1.0,First Touch
8,Paid Social,0.0,0.0,First Touch
8,Paid Search,0.0,0.0,First Touch
9,Display,133.97968938101093,1.0,First Touch
9,Display,133.97968938101093,1.0,First Touch
9,Display,133.97968938101093,1.0,First Touch
9,Paid Search,0.0,0.0,First Touch
9,Paid Search,0.0,0.0,First Touch
9,Paid Search,0.0,0.0,First Touch
10,Paid Search,172.84656165018322,1.0,First Touch
10,Video,0.0,0.0,First Touch
10,Display,0.0,0.0,First Touch
10,Video,0.0,0.0,First Touch
10,Paid Search,172.84656165018322,1.0,First Touch
10,Paid Social,0.0,0.0,First Touch
11,Display,46.69884298171727,1.0,First Touch
12,Display,124.56848777557644,1.0,First Touch
12,Paid Search,0.0,0.0,First Touch
12,Display,124.56848777557644,1.0,First Touch
12,Paid Search,0.0,0.0,First Touch
12,Display,124.56848777557644,1.0,First Touch
12,Display,124.56848777557644,1.0,First Touch
12,Video,0.0,0.0,First Touch
13,Display,120.96223009340862,1.0,First Touch
13,Paid Social,0.0,0.0,First Touch
13,Video,0.0,0.0,First Touch
14,Email,89.72681922915658,1.0,First Touch
14,Video,0.0,0.0,First Touch
14,Video,0.0,0.0,First Touch
14,Video,0.0,0.0,First Touch
14,Video,0.0,0.0,First Touch
14,Paid Social,0.0,0.0,First Touch
14,Paid Search,0.0,0.0,First Touch
14,Video,0.0,0.0,First Touch
15,Paid Search,141.27319830578125,1.0,First Touch
15,Video,0.0,0.0,First Touch
15,Paid Search,141.27319830578125,1.0,First Touch
16,Paid Search,136.53610730605504,1.0,First Touch
17,Paid Search,69.5296734894093,1.0,First Touch
17,Paid Search,69.5296734894093,1.0,First Touch
17,Paid Search,69.5296734894093,1.0,First Touch
17,Display,0.0,0.0,First Touch
17,Paid Search,69.5296734894093,1.0,First Touch
17,Paid Social,0.0,0.0,First Touch
17,Display,0.0,0.0,First Touch
18,Paid Search,125.06894563261513,1.0,First Touch
18,Video,0.0,0.0,First Touch
18,Paid Social,0.0,0.0,First Touch
18,Paid Search,125.06894563261513,1.0,First Touch
19,Display,102.26224454069686,1.0,First Touch
19,Paid Search,0.0,0.0,First Touch
20,Paid Search,73.43963970351092,1.0,First Touch
20,Paid Search,73.43963970351092,1.0,First Touch
20,Video,0.0,0.0,First Touch
20,Video,0.0,0.0,First Touch
20,Paid Search,73.43963970351092,1.0,First Touch
20,Paid Social,0.0,0.0,First Touch
21,Paid Social,153.23117780070746,1.0,First Touch
21,Display,0.0,0.0,First Touch
21,Video,0.0,0.0,First Touch
21,Paid Social,153.23117780070746,1.0,First Touch
22,Paid Search,143.21744111013982,1.0,First Touch
22,Display,0.0,0.0,First Touch
22,Paid Search,143.21744111013982,1.0,First Touch
23,Video,90.59609821924752,1.0,First Touch
23,Paid Search,0.0,0.0,First Touch
24,Display,81.96104916142882,1.0,First Touch
24,Paid Social,0.0,0.0,First Touch
24,Paid Search,0.0,0.0,First Touch
24,Paid Social,0.0,0.0,First Touch
24,Video,0.0,0.0,First Touch
25,Paid Search,139.3338725618811,1.0,First Touch
25,Paid Search,139.3338725618811,1.0,First Touch
26,Video,93.70056554482788,1.0,First Touch
26,Video,93.70056554482788,1.0,First Touch
26,Affiliate,0.0,0.0,First Touch
26,Video,93.70056554482788,1.0,First Touch
26,Video,93.70056554482788,1.0,First Touch
26,Paid Social,0.0,0.0,First Touch
26,Display,0.0,0.0,First Touch
26,Paid Search,0.0,0.0,First Touch
27,Display,108.19988709285276,1.0,First Touch
27,Paid Search,0.0,0.0,First Touch
27,Paid Search,0.0,0.0,First Touch
27,Paid Search,0.0,0.0,First Touch
28,Video,110.97482896845747,1.0,First Touch
28,Paid Social,0.0,0.0,First Touch
28,Paid Search,0.0,0.0,First Touch
28,Paid Social,0.0,0.0,First Touch
28,Video,110.97482896845747,1.0,First Touch
29,Paid Search,119.55875856044152,1.0,First Touch
29,Video,0.0,0.0,First Touch
29,Paid Search,119.55875856044152,1.0,First Touch
30,Video,115.9383452724424,1.0,First Touch
30,Paid Search,0.0,0.0,First Touch
30,Affiliate,0.0,0.0,First Touch
30,Video,115.9383452724424,1.0,First Touch
30,Paid Social,0.0,0.0,First Touch
31,Display,48.41904307988143,1.0,First Touch
31,Display,48.41904307988143,1.0,First Touch
31,Paid Social,0.0,0.0,First Touch
31,Paid Social,0.0,0.0,First Touch
31,Video,0.0,0.0,First Touch
31,Video,0.0,0.0,First Touch
31,Paid Search,0.0,0.0,First Touch
32,Paid Search,121.1645996460851,1.0,First Touch
32,Display,0.0,0.0,First Touch
33,Paid Search,105.05765479577984,1.0,First Touch
33,Paid Search,105.05765479577984,1.0,First Touch
33,Video,0.0,0.0,First Touch
33,Paid Social,0.0,0.0,First Touch
33,Paid Search,105.05765479577984,1.0,First Touch
33,Display,0.0,0.0,First Touch
